llm,granularity,feature,feature_full_name,p_value,cliff_delta,effect_size,direction,human_median,llm_median,human_mean,llm_mean,significant_corrected,significant_uncorrected
claude-3-haiku,class,CountLineBlank,Blank Lines,5.250938700647528e-26,-0.07871471903920452,Negligible,↓,6.0,5.0,9.153529757407874,6.867119952992529,True,True
claude-3-haiku,class,CountLineCode,Code Lines,4.953139197951286e-127,-0.1793393481909461,Small,↓,32.0,24.0,57.715101150004195,30.64660454965164,True,True
claude-3-haiku,class,CountLineCodeDecl,Declarative Code Lines,8.616574280530943e-103,-0.16096190371040375,Small,↓,16.0,12.0,24.103332493914213,15.477209770838579,True,True
claude-3-haiku,class,CountLineCodeExe,Executable Code Lines,7.776773422478155e-197,-0.2238601076924071,Small,↓,25.0,16.0,48.72064131620918,21.570553177201376,True,True
claude-3-haiku,class,CountLineComment,Comment Lines,3.3173261814944515e-58,-0.11964446566209626,Negligible,↓,6.0,4.0,16.845966591118945,11.309242004532864,True,True
claude-3-haiku,class,CountStmt,Statements,3.953265685366149e-189,-0.219401476620888,Small,↓,30.0,21.0,54.135650130109966,26.691597414589104,True,True
claude-3-haiku,class,CountStmtDecl,Declarative Statements,6.839255303773987e-116,-0.17108179774700416,Small,↓,14.0,11.0,22.26576009401494,13.936372030554857,True,True
claude-3-haiku,class,CountStmtExe,Executable Statements,4.0207496340298214e-281,-0.2679544073305352,Small,↓,24.0,14.0,46.51145807101486,18.979182405775205,True,True
claude-3-haiku,class,MaxCyclomatic,Max Cyclomatic Complexity,0.0,-0.3061728365310918,Small,↓,4.0,2.0,5.216654075379837,2.5416771594056913,True,True
claude-3-haiku,class,MaxCyclomaticModified,Max Modified Cyclomatic Complexity,0.0,-0.3060590960503833,Small,↓,4.0,2.0,5.2148073533115085,2.5416771594056913,True,True
claude-3-haiku,class,MaxCyclomaticStrict,Max Strict Cyclomatic Complexity,0.0,-0.31005862200723,Small,↓,4.0,2.0,5.9456056408965,2.7516158818097876,True,True
claude-3-haiku,class,MaxCyclomaticStrictModified,Max Strict Modified Cyclomatic Complexity,0.0,-0.309939019050995,Small,↓,4.0,2.0,5.943758918828171,2.7516158818097876,True,True
claude-3-haiku,class,MaxEssential,Max Essential Complexity,4.428527756320179e-219,-0.20837311731125677,Small,↓,1.0,1.0,2.845882649206749,1.5950642155628305,True,True
claude-3-haiku,class,MaxInheritanceTree,Max Inheritance Tree,0.08765209266302683,0.0037006453986623933,Negligible,↓,0.0,0.0,0.027784772937127507,0.03206581045916226,False,False
claude-3-haiku,class,MaxNesting,Max Nesting,5.3339428348105806e-254,-0.24609940155610252,Small,↓,2.0,1.0,1.7354990346680097,1.0729455216989843,True,True
claude-3-haiku,class,RatioCommentToCode,Comment to Code Ratio,0.000944326030535765,-0.024627970790976682,Negligible,↓,0.23,0.21,0.365594728447914,0.4089339377151012,True,True
claude-3-haiku,class,SumCyclomatic,Sum Cyclomatic Complexity,7.537943559495618e-80,-0.14140422030171187,Negligible,↓,10.0,7.0,17.036682615629985,9.815915386552506,True,True
claude-3-haiku,class,SumCyclomaticModified,Sum Modified Cyclomatic Complexity,9.778231566515746e-80,-0.141301690396199,Negligible,↓,10.0,7.0,17.03315705531772,9.815915386552506,True,True
claude-3-haiku,class,SumCyclomaticStrict,Sum Strict Cyclomatic Complexity,9.22018942983165e-93,-0.1526824746769066,Small,↓,10.0,8.0,18.70418870141862,10.256442541761102,True,True
claude-3-haiku,class,SumCyclomaticStrictModified,Sum Strict Modified Cyclomatic Complexity,1.1926934106224405e-92,-0.15258849186612172,Small,↓,10.0,8.0,18.700663141106354,10.256442541761102,True,True
claude-3-haiku,class,SumEssential,Sum Essential Complexity,5.66624658129268e-11,-0.048915847538967654,Negligible,↓,6.0,5.0,10.010492739024595,7.554520271971795,True,True
