Repetition,Fold,LR,NB,KNN,SVM,RF,XGB,CatBoost,MLP
8,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8851426268623191,0.8942490109655378,0.8996723221196884,0.8935779099304235
8,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8631465885055092,0.8774235886233235,0.8854289045803334,0.8758611729238535
8,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8695371880261042,0.8808429557513744,0.8885377704911535,0.8849482883345132
9,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8606983634824144,0.8755402115592336,0.8780247718311535,0.8717932766576856
9,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8714557992708727,0.8882724130679172,0.8908015665997584,0.8787795540453793
9,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8756723397367787,0.8976480083328837,0.898473258908467,0.8935536864312069
9,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8656289466411365,0.8832493401849134,0.8884452807668719,0.8826415505682061
9,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8610275828581306,0.8860091674933853,0.8866373268707973,0.8825308932195122
9,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8681625044455626,0.8855142373616646,0.8895001040509398,0.8825529145824365
9,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8675271881252002,0.8839171380155889,0.8862783786551334,0.881283933543931
9,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8839171380155889,0.8942490109655378,0.8999299720659012,0.8903435222509355
9,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8643148218086366,0.8774235886233235,0.8842518627320364,0.8771015261905575
9,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8684818142079631,0.8808429557513744,0.8891202355404979,0.8827769819501899
10,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8595273775089214,0.8755402115592336,0.8781029476695342,0.8716892257178688
10,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8713110088096462,0.8882724130679172,0.89024497665185,0.8824108767915755
10,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8781624053494295,0.8976480083328837,0.8987727494442359,0.8925153791693322
10,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.867747401754442,0.8832493401849134,0.8877251821992515,0.8841544182010969
10,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8608222336488628,0.8860091674933853,0.8872021748298023,0.8841043196004444
10,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8671286014562728,0.8855142373616646,0.8895892905707827,0.8800606468334933
10,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8668830632596682,0.8839171380155889,0.8858577706232815,0.8847291757734178
10,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8837090361359554,0.8942490109655378,0.8996591093019337,0.8890657326672603
10,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.864770113487094,0.8774235886233235,0.88452382656415,0.8745949445557135
10,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8693219292035204,0.8808429557513744,0.8891312462219598,0.8829261766840011
11,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8603597850274551,0.8755402115592336,0.8782405811878102,0.8716264648335349
11,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8726807375835297,0.8882724130679172,0.8899669569449322,0.8832003426524071
